item_code_i,item_code_j,score
49,1130,0.9225795865058899
49,1286,0.8631826639175415
49,568,0.8138461709022522
49,415,0.7833014130592346
49,273,0.7018451690673828
54,751,0.8829352855682373
54,11740,0.8125461339950562
54,11726,0.7911908030509949
54,965,0.7097495794296265
54,1591,0.7002534866333008
55,21640,0.8845890760421753
55,1334,0.8753514289855957
55,239,0.8223898410797119
55,1047,0.8146588802337646
55,8851,0.8108773827552795
55,443,0.7265476584434509
55,1535,0.7173360586166382
55,1358,0.7156652212142944
56,339,0.8961582183837891
56,218,0.8239666819572449
56,120,0.8145888447761536
56,47,0.7682969570159912
56,577,0.7529223561286926
56,1132,0.7251262664794922
56,2185,0.7053930163383484
59,1705,0.8140044212341309
60,971,0.8405438661575317
60,445,0.8226463198661804
60,11902,0.8089653849601746
60,753,0.7591509819030762
60,1388,0.7398325204849243
60,650,0.7038354277610779
65,28797,0.8202477097511292
65,1317,0.7479639649391174
65,878,0.7085652947425842
65,66,0.7040899991989136
66,1723,0.7463284134864807
66,1174,0.7046017646789551
66,65,0.7040899991989136
66,709,0.7034732103347778
66,1540,0.7019982933998108
67,166,0.7167226076126099
68,1423,0.7586670517921448
69,1616,0.9218882322311401
69,911,0.828666090965271
69,683,0.826676070690155
69,2178,0.7563525438308716
74,37239,0.810265839099884
74,35150,0.8023300170898438
74,44117,0.7995284795761108
74,21668,0.7922540307044983
74,8891,0.7880392670631409
74,39781,0.7646651268005371
74,20361,0.747260570526123
74,30636,0.7361047267913818
74,4211,0.7320077419281006
76,716,0.7777110934257507
76,1196,0.7209151983261108
76,1283,0.7010108232498169
80,178,0.946994423866272
81,452,0.9169146418571472
81,976,0.8572834134101868
81,256,0.8457508087158203
81,179,0.8382800817489624
81,208,0.8270354270935059
81,6,0.8270354270935059
81,426,0.7692971229553223
81,926,0.7622642517089844
81,427,0.7483925819396973
88,265,0.7907224893569946
88,8373,0.7211526036262512
89,16706,0.9818834066390991
89,32712,0.9217492341995239
89,10034,0.8002333045005798
89,15771,0.8002333045005798
89,21594,0.7941722869873047
89,16948,0.7880252003669739
89,4572,0.7880252003669739
89,30067,0.7880251407623291
89,18140,0.7880251407623291
91,37164,0.959030032157898
91,12425,0.9480170607566833
91,11072,0.9417187571525574
91,35322,0.8167168498039246
91,331,0.7105823159217834
91,3650,0.7057623267173767
93,23682,0.940768837928772
94,24251,0.8780633211135864
94,10173,0.8754968047142029
94,30803,0.8389579653739929
94,14343,0.8058295845985413
94,15294,0.7760274410247803
94,13367,0.7625006437301636
94,10171,0.7607691287994385
94,30793,0.7416813969612122
94,14893,0.7416813969612122
101,13736,0.9702503681182861
101,12721,0.9702503681182861
101,12652,0.9180222749710083
101,21336,0.8871967792510986
101,10738,0.8871967792510986
101,14134,0.8670274019241333
101,21337,0.854404628276825
101,13737,0.8253617882728577
101,865,0.7654744982719421
104,205,0.8091212511062622
104,226,0.800159215927124
104,325,0.790168046951294
104,29,0.7740437984466553
104,451,0.7603508234024048
106,10447,0.7528745532035828
106,179,0.7151979804039001
106,327,0.7094501256942749
106,303,0.7094501256942749
106,208,0.7075316905975342
106,6,0.7075316905975342
106,255,0.7049070000648499
106,977,0.7033467888832092
106,976,0.7018991708755493
107,954,0.8883981108665466
107,255,0.8604094386100769
107,5,0.8454064130783081
107,426,0.8436608910560608
107,327,0.8432665467262268
107,303,0.8432665467262268
107,207,0.8140159249305725
107,977,0.813126802444458
107,380,0.7931640148162842
114,15130,0.7582639455795288
115,43,0.744507372379303
118,442,0.8448176383972168
118,1965,0.7944448590278625
118,11897,0.7763116359710693
118,21973,0.7692742347717285
120,56,0.8145888447761536
120,1595,0.8036684393882751
120,339,0.7510940432548523
135,31251,0.8178472518920898
135,12344,0.8178471922874451
135,7931,0.8178471922874451
135,232,0.7565023899078369
135,41920,0.7141280770301819
135,16951,0.7141280770301819
136,456,0.8856816291809082
136,17063,0.8707284927368164
136,10456,0.8664817214012146
136,4039,0.8664817214012146
136,983,0.8664817214012146
136,40150,0.8401507139205933
136,24733,0.7914072275161743
136,34453,0.7788780927658081
136,12281,0.7446054220199585
137,310,0.7303082942962646
138,388,0.9581962823867798
138,15172,0.741179883480072
138,37711,0.7206485867500305
138,34095,0.7124855518341064
138,19329,0.7033501267433167
138,5683,0.7013255953788757
139,391,0.888847827911377
139,10659,0.8574802279472351
139,266,0.8394884467124939
139,987,0.8394882082939148
139,1780,0.7921926379203796
139,1447,0.7921924591064453
139,11012,0.7496904730796814
166,67,0.7167226076126099
166,806,0.7078723907470703
173,174,0.8596783876419067
173,3489,0.8473589420318604
173,838,0.8227136135101318
173,5907,0.8098169565200806
173,813,0.8022631406784058
173,692,0.7987123727798462
173,615,0.7955073118209839
173,15636,0.7889785170555115
173,917,0.7874635457992554
174,3489,0.8977891802787781
174,692,0.8742161393165588
174,615,0.8667235374450684
174,173,0.8596783876419067
174,616,0.8494606614112854
174,813,0.8472284078598022
174,838,0.846497118473053
174,28792,0.8438078761100769
174,12922,0.8334701061248779
176,12960,0.8512659668922424
176,15564,0.7637750506401062
176,253,0.7459021210670471
178,80,0.946994423866272
179,208,0.9714757204055786
179,6,0.9714757204055786
179,256,0.9517837762832642
179,976,0.9448700547218323
